Type, Quantum, Average Response Time, Context Switch Time
mlfq, 30000, 1.10993220, 0.00004016
rr, 30000, 0.70818557, 0.00029180
mlfq, 35000, 1.12683312, 0.00004980
rr, 35000, 0.72008166, 0.00023837
mlfq, 40000, 1.13562122, 0.00005189
rr, 40000, 0.75241268, 0.00023013
mlfq, 45000, 1.14846740, 0.00004477
rr, 45000, 0.72238540, 0.00023041
mlfq, 50000, 1.16420971, 0.00004512
rr, 50000, 0.77735217, 0.00023815
mlfq, 55000, 1.17688147, 0.00004903
rr, 55000, 0.78608784, 0.00023181
mlfq, 60000, 1.18988656, 0.00004582
rr, 60000, 0.82725144, 0.00022265
mlfq, 65000, 1.20195175, 0.00003967
rr, 65000, 0.81433979, 0.00017844
mlfq, 70000, 1.21264401, 0.00004763
rr, 70000, 0.85949005, 0.00024528
mlfq, 75000, 1.22815728, 0.00004651
rr, 75000, 0.90207015, 0.00021749
mlfq, 80000, 1.24001385, 0.00004819
rr, 80000, 0.88184321, 0.00018934
mlfq, 85000, 0.93009459, 0.00004749
rr, 85000, 0.80924098, 0.00016643
mlfq, 90000, 0.94705114, 0.00006348
rr, 90000, 0.83405384, 0.00014841
mlfq, 95000, 0.96262114, 0.00005755
rr, 95000, 0.88061801, 0.00019591
mlfq, 100000, 0.97935544, 0.00005727
rr, 100000, 0.90152793, 0.00016287
mlfq, 105000, 0.99547060, 0.00005664
rr, 105000, 0.84159862, 0.00013849
mlfq, 110000, 1.00926184, 0.00006237
rr, 110000, 0.88173287, 0.00018997
mlfq, 115000, 1.02820512, 0.00006314
rr, 115000, 0.92179453, 0.00015721
mlfq, 120000, 1.04446889, 0.00005643
rr, 120000, 0.93157353, 0.00013256
mlfq, 125000, 1.06105800, 0.00009498
rr, 125000, 0.97056978, 0.00015945
mlfq, 130000, 1.07796831, 0.00005671
rr, 130000, 0.97668595, 0.00014513
mlfq, 135000, 1.09073121, 0.00005427
rr, 135000, 1.01420240, 0.00016021
mlfq, 140000, 1.10896163, 0.00010658
rr, 140000, 1.05153382, 0.00019611
mlfq, 145000, 1.12534819, 0.00006516
rr, 145000, 1.05288011, 0.00013081
mlfq, 150000, 1.13985218, 0.00005986
rr, 150000, 1.08889604, 0.00015204
mlfq, 155000, 1.15787927, 0.00005783
rr, 155000, 1.00896235, 0.00015260
mlfq, 160000, 1.17404920, 0.00006293
rr, 160000, 1.04149943, 0.00013703
mlfq, 165000, 1.19063968, 0.00006495
rr, 165000, 1.03289875, 0.00013759
mlfq, 170000, 1.20416336, 0.00006230
rr, 170000, 1.06389243, 0.00012292
mlfq, 175000, 1.22243218, 0.00004868
rr, 175000, 1.09500284, 0.00015058
