Type, Quantum, Average Response Time, Context Switch Time, Second Queue Usage
mlfq, 94000, 0.95729827, 0.00006384, 0.500
mlfq, 95000, 0.95995896, 0.00003744, 0.500
mlfq, 96000, 0.96396129, 0.00005622, 0.500
mlfq, 97000, 0.96724978, 0.00005860, 0.500
mlfq, 98000, 0.97010097, 0.00006481, 0.500
mlfq, 99000, 0.97316141, 0.00006083, 0.500
mlfq, 100000, 0.97705295, 0.00005608, 0.500
rr, 0, 0.78800989, 0.05059306, 0
rr, 500, 0.66832728, 0.00627123, 0
rr, 1000, 0.70077042, 0.00349037, 0
rr, 1500, 0.68972314, 0.00322095, 0
rr, 2000, 0.70576384, 0.00247556, 0
rr, 2500, 0.69463244, 0.00197827, 0
rr, 3000, 0.65834196, 0.00167640, 0
rr, 3500, 0.67705557, 0.00145598, 0
rr, 4000, 0.67542203, 0.00129898, 0
rr, 4500, 0.66450596, 0.00124142, 0
rr, 5000, 0.68735838, 0.00108967, 0
rr, 5500, 0.67537657, 0.00100634, 0
rr, 6000, 0.66034395, 0.00089056, 0
rr, 6500, 0.67682017, 0.00083914, 0
rr, 7000, 0.66545453, 0.00067165, 0
rr, 7500, 0.68226833, 0.00083866, 0
rr, 8000, 0.66450162, 0.00069088, 0
rr, 8500, 0.67746555, 0.00073822, 0
rr, 9000, 0.67347070, 0.00065952, 0
rr, 9500, 0.66744296, 0.00062130, 0
rr, 10000, 0.67156592, 0.00057053, 0
rr, 10500, 0.67030101, 0.00052717, 0
rr, 11000, 0.67165350, 0.00054455, 0
rr, 11500, 0.69046544, 0.00059232, 0
rr, 12000, 0.67172846, 0.00046739, 0
rr, 12500, 0.68051362, 0.00053205, 0
rr, 13000, 0.68475648, 0.00046535, 0
rr, 13500, 0.69051849, 0.00042673, 0
rr, 14000, 0.68782267, 0.00044901, 0
rr, 14500, 0.69410255, 0.00043665, 0
rr, 15000, 0.69557253, 0.00045865, 0
rr, 15500, 0.67901144, 0.00039502, 0
rr, 16000, 0.68059631, 0.00038155, 0
rr, 16500, 0.68069323, 0.00037037, 0
rr, 17000, 0.65888025, 0.00035403, 0
rr, 17500, 0.66906588, 0.00035368, 0
rr, 18000, 0.66535647, 0.00033698, 0
rr, 18500, 0.67446418, 0.00034201, 0
rr, 19000, 0.68784894, 0.00034152, 0
rr, 19500, 0.68131520, 0.00034550, 0
rr, 20000, 0.69394464, 0.00034607, 0
mlfq, 15000, 1.44343321, 0.00001851, 1.000
mlfq, 16000, 1.07188564, 0.00002277, 0.750
mlfq, 17000, 1.07421645, 0.00003262, 0.750
mlfq, 18000, 1.07693172, 0.00002829, 0.750
mlfq, 19000, 1.07932077, 0.00002319, 0.750
mlfq, 20000, 1.08147268, 0.00003038, 0.750
mlfq, 21000, 1.08526377, 0.00004009, 0.750
mlfq, 22000, 1.08648287, 0.00003024, 0.750
mlfq, 23000, 1.08885894, 0.00002871, 0.750
mlfq, 24000, 1.09154985, 0.00004246, 0.750
mlfq, 25000, 1.09428016, 0.00003653, 0.750
mlfq, 26000, 1.09899477, 0.00004777, 0.750
mlfq, 27000, 1.10041217, 0.00004211, 0.750
mlfq, 28000, 1.10408856, 0.00004163, 0.750
mlfq, 29000, 1.10673968, 0.00002759, 0.750
mlfq, 30000, 1.10952665, 0.00004749, 0.750
mlfq, 31000, 1.11292149, 0.00003995, 0.750
mlfq, 32000, 1.11527809, 0.00004812, 0.750
mlfq, 81000, 1.23914979, 0.00005294, 0.750
mlfq, 82000, 1.24125254, 0.00005287, 0.750
